run,export,split,n_train,n_val,n_export,best_epoch,stopped_early,contrastive_loss,temperature,temperature_trainable,accumulation_steps,effective_batch_size,best_val_loss,best_val_margin,best_val_i2s_median_rank,best_val_s2i_median_rank,export_i2s_recall@1,export_s2i_recall@1,export_i2s_median_rank,export_s2i_median_rank,export_margin
hpo_loss_lr_temp_20260720_1320/lr1e3_temp015_sym,export_test4096,test,16384,4096,4096,4,True,symmetric_info_nce,0.15,False,4.0,128.0,3.055827284231782,0.20864224433898926,891.0,940.0,0.001220703125,0.001953125,893.0,909.0,0.20877739787101746
hpo_loss_lr_temp_20260720_1320/lr1e3_temp015_sym,export_val4096,val,16384,4096,4096,4,True,symmetric_info_nce,0.15,False,4.0,128.0,3.055827284231782,0.20864224433898926,891.0,940.0,0.001220703125,0.00146484375,891.0,940.0,0.20864224433898926
hpo_loss_lr_temp_20260720_1320/lr1e4_temp010_i2s,export_test4096,test,16384,4096,4096,5,True,image_to_spectrum_info_nce,0.1,False,4.0,128.0,3.101483080536127,0.1272510290145874,986.0,1109.0,0.00146484375,0.000244140625,988.0,1109.0,0.12759730219841003
hpo_loss_lr_temp_20260720_1320/lr1e4_temp010_i2s,export_val4096,val,16384,4096,4096,5,True,image_to_spectrum_info_nce,0.1,False,4.0,128.0,3.101483080536127,0.1272510290145874,986.0,1109.0,0.0009765625,0.000244140625,986.0,1109.0,0.1272510290145874
hpo_loss_lr_temp_20260720_1320/lr1e4_temp010_s2i,export_test4096,test,16384,4096,4096,5,True,spectrum_to_image_info_nce,0.1,False,4.0,128.0,3.098787685856223,0.1432388424873352,1192.0,1001.0,0.00048828125,0.001220703125,1218.0,1012.0,0.1442883312702179
hpo_loss_lr_temp_20260720_1320/lr1e4_temp010_s2i,export_val4096,val,16384,4096,4096,5,True,spectrum_to_image_info_nce,0.1,False,4.0,128.0,3.098787685856223,0.1432388424873352,1192.0,1001.0,0.000244140625,0.000732421875,1192.0,1001.0,0.1432388424873352
hpo_loss_lr_temp_20260720_1320/lr1e4_temp010_sym,export_test4096,test,16384,4096,4096,5,True,symmetric_info_nce,0.1,False,4.0,128.0,3.104024203494191,0.12702080607414246,1016.0,1004.0,0.000732421875,0.001220703125,1022.0,1017.0,0.1274370551109314
hpo_loss_lr_temp_20260720_1320/lr1e4_temp010_sym,export_val4096,val,16384,4096,4096,5,True,symmetric_info_nce,0.1,False,4.0,128.0,3.104024203494191,0.12702080607414246,1016.0,1004.0,0.0009765625,0.000732421875,1016.0,1004.0,0.12702080607414246
hpo_loss_lr_temp_20260720_1320/lr1e4_temp015_i2s,export_test4096,test,16384,4096,4096,4,True,image_to_spectrum_info_nce,0.15,False,4.0,128.0,3.1024021208286285,0.1517564356327057,995.0,1128.0,0.001708984375,0.00048828125,1011.0,1111.0,0.15160059928894043
hpo_loss_lr_temp_20260720_1320/lr1e4_temp015_i2s,export_val4096,val,16384,4096,4096,4,True,image_to_spectrum_info_nce,0.15,False,4.0,128.0,3.1024021208286285,0.1517564356327057,995.0,1128.0,0.001220703125,0.000732421875,995.0,1128.0,0.1517564356327057
hpo_loss_lr_temp_20260720_1320/lr1e4_temp015_s2i,export_test4096,test,16384,4096,4096,4,True,spectrum_to_image_info_nce,0.15,False,4.0,128.0,3.0999527648091316,0.17845985293388367,1168.0,1020.0,0.0009765625,0.0009765625,1183.0,1045.0,0.17943215370178223
hpo_loss_lr_temp_20260720_1320/lr1e4_temp015_s2i,export_val4096,val,16384,4096,4096,4,True,spectrum_to_image_info_nce,0.15,False,4.0,128.0,3.0999527648091316,0.17845985293388367,1168.0,1020.0,0.000732421875,0.000244140625,1168.0,1020.0,0.17845985293388367
hpo_loss_lr_temp_20260720_1320/lr1e4_temp015_sym,export_test4096,test,16384,4096,4096,4,True,symmetric_info_nce,0.15,False,4.0,128.0,3.1060635056346655,0.158063143491745,990.0,1025.0,0.00048828125,0.001220703125,1000.0,1034.0,0.1580856740474701
hpo_loss_lr_temp_20260720_1320/lr1e4_temp015_sym,export_val4096,val,16384,4096,4096,4,True,symmetric_info_nce,0.15,False,4.0,128.0,3.1060635056346655,0.158063143491745,990.0,1025.0,0.0009765625,0.00048828125,990.0,1025.0,0.158063143491745
hpo_loss_lr_temp_20260720_1320/lr3e4_temp010_i2s,export_test4096,test,16384,4096,4096,4,True,image_to_spectrum_info_nce,0.1,False,4.0,128.0,3.114659436047077,0.15009066462516785,964.0,1108.0,0.000732421875,0.000732421875,919.0,1074.0,0.15063127875328064
hpo_loss_lr_temp_20260720_1320/lr3e4_temp010_i2s,export_val4096,val,16384,4096,4096,4,True,image_to_spectrum_info_nce,0.1,False,4.0,128.0,3.114659436047077,0.15009066462516785,964.0,1108.0,0.001220703125,0.001220703125,964.0,1108.0,0.15009066462516785
hpo_loss_lr_temp_20260720_1320/lr3e4_temp010_s2i,export_test4096,test,16384,4096,4096,4,True,spectrum_to_image_info_nce,0.1,False,4.0,128.0,3.1248781625181437,0.16019436717033386,1269.0,1014.0,0.000244140625,0.000732421875,1241.0,984.0,0.16159987449645996
hpo_loss_lr_temp_20260720_1320/lr3e4_temp010_s2i,export_val4096,val,16384,4096,4096,4,True,spectrum_to_image_info_nce,0.1,False,4.0,128.0,3.1248781625181437,0.16019436717033386,1269.0,1014.0,0.000244140625,0.0009765625,1269.0,1014.0,0.16019436717033386
hpo_loss_lr_temp_20260720_1320/lr3e4_temp010_sym,export_test4096,test,16384,4096,4096,4,True,symmetric_info_nce,0.1,False,4.0,128.0,3.1110425665974617,0.14902925491333008,985.0,1009.0,0.00146484375,0.00146484375,934.0,945.0,0.15008720755577087
